"CRBU","240403","03-Apr-24","4.78","4.915","4.665","4.68","1976169","-2.09","-0.10","","","","","","","1512090",\N,\N,\N,\N
"TDUP","240403","03-Apr-24","1.92","1.92","1.83","1.86","905830","-3.63","-0.07","","","","","","","474726",\N,\N,\N,\N
"NVCT","240403","03-Apr-24","7.81","8.4","7.72","8.25","41864","3.90","0.31","","","","","","","99884",\N,\N,\N,\N
"QSI","240403","03-Apr-24","1.8","1.9","1.77","1.84","838587","2.22","0.04","","","","","","","677279",\N,\N,\N,\N
"VLN","240403","03-Apr-24","2.34","2.45","2.33","2.43","232242","0.83","0.02","","","","","","","261294",\N,\N,\N,\N
"GROY","240403","03-Apr-24","1.94","2.09","1.94","2.09","888401","8.29","0.16","","","","","","","577056",\N,\N,\N,\N
"BYNO","240403","03-Apr-24","11.11","11.13","11.11","11.11","16784","0.00","0.00","","","","","","","29389",\N,\N,\N,\N
"CDAQ","240403","03-Apr-24","10.71","10.71","10.695","10.71","776","0.09","0.01","","","","","","","19148",\N,\N,\N,\N
"SKGR","240403","03-Apr-24","11.09","11.1","11.05","11.06","350006","0.00","0.00","","","","","","","60806",\N,\N,\N,\N
"REFI","240403","03-Apr-24","15.57","15.66","15.555","15.61","73233","-0.06","-0.01","","","","","","","85760",\N,\N,\N,\N
"IKNA","240403","03-Apr-24","1.35","1.46","1.31","1.34","273480","0.00","0.00","","","","","","","378495",\N,\N,\N,\N
"CURV","240403","03-Apr-24","4.56","4.77","4.37","4.67","27304","3.55","0.16","","","","","","","114167",\N,\N,\N,\N
"SOPH","240403","03-Apr-24","4.97","5.2","4.82","5.15","18319","3.83","0.19","","","","","","","41890",\N,\N,\N,\N
"DSP","240403","03-Apr-24","10.32","11.15","10.32","11.09","199362","6.63","0.69","12.32","10.75","0.28","2006/05/17","19.2","0.8","104082",\N,\N,\N,\N
"BWBBP","240403","03-Apr-24","17.7","17.7","17.67","17.67","932","-0.23","-0.04","","","","","","","2526",\N,\N,\N,\N
"VCSA","240403","03-Apr-24","6.29","6.44","6.12","6.36","48116","1.92","0.12","","","","","","","65543",\N,\N,\N,\N
"ACRV","240403","03-Apr-24","6.63","6.8","6.018","6.66","33538","-0.45","-0.03","","","","","","","69912",\N,\N,\N,\N
"QBTS","240403","03-Apr-24","1.81","2","1.8","1.97","3225354","7.07","0.13","","","","","","","4097818",\N,\N,\N,\N
"KLTR","240403","03-Apr-24","1.33","1.4","1.31","1.34","108432","-0.74","-0.01","","","","","","","108422",\N,\N,\N,\N
"VMCA","240403","03-Apr-24","11.37","11.37","11.37","11.37","1149","0.00","0.00","","","","","","","26746",\N,\N,\N,\N
"AFRI","240403","03-Apr-24","10.26","10.55","10.26","10.31","8183","0.29","0.03","","","","","","","11356",\N,\N,\N,\N
"HUMA","240403","03-Apr-24","2.92","3.08","2.89","3.03","1137312","2.02","0.06","","","","","","","900982",\N,\N,\N,\N
"TNGX","240403","03-Apr-24","7.46","7.71","7.35","7.68","1076628","1.59","0.12","","","","","","","596760",\N,\N,\N,\N
"DRTS","240403","03-Apr-24","2.91","2.91","2.88","2.90","14815","0.35","0.01","","","","","","","28205",\N,\N,\N,\N
"PGSS","240403","03-Apr-24","11.3238","11.324","11.26","11.32","10","0.00","0.00","","","","","","","20136",\N,\N,\N,\N
"JWSM","240403","03-Apr-24","10.98","10.98","10.97","10.98","1931","0.09","0.01","","","","","","","7184",\N,\N,\N,\N
"ZIMV","240403","03-Apr-24","17.24","17.77","16.96","17.40","275082","0.29","0.05","","","","","","","307538",\N,\N,\N,\N
"IMRX","240403","03-Apr-24","2.49","2.6","2.36","2.40","449747","-4.00","-0.10","4.9","3.74","0.28","2007/08/28","22.9","0.7","583442",\N,\N,\N,\N
"ZVIA","240403","03-Apr-24","1.02","1.09","1.01","1.04","100497","-0.95","-0.01","","","","","","","133282",\N,\N,\N,\N
"PLAO","240403","03-Apr-24","11.27","11.27","11.27","11.27","2","0.00","0.00","","","","","","","49967",\N,\N,\N,\N
"OMGA","240403","03-Apr-24","3.01","3.01","2.85","2.88","260559","-4.15","-0.13","","","","","","","1691187",\N,\N,\N,\N
"AVAH","240403","03-Apr-24","2.46","2.66","2.42","2.50","106509","0.40","0.01","","","","","","","82774",\N,\N,\N,\N
"THCP","240403","03-Apr-24","10.33","10.36","10.329","10.36","20210","0.39","0.04","","","","","","","12233",\N,\N,\N,\N
"RENE","240403","03-Apr-24","11.12","11.12","11.12","11.12","6064","0.09","0.01","","","","","","","39930",\N,\N,\N,\N
"CITE","240403","03-Apr-24","10.96","10.96","10.96","10.96","178","-0.90","-0.10","","","","","","","24303",\N,\N,\N,\N
"NN","240403","03-Apr-24","7","7.49","6.961","7.37","884540","4.84","0.34","","","","","","","859890",\N,\N,\N,\N
"VAXX","240403","03-Apr-24","0.6945","0.7","0.665","0.68","143829","-1.24","-0.01","","","","","","","374280",\N,\N,\N,\N
"NVX","240403","03-Apr-24","2.39","2.52","2.39","2.47","69730","0.82","0.02","15.77","12.48","0.72","2007/08/13","23.7","5.5","66113",\N,\N,\N,\N
"OZ","240403","03-Apr-24","61.77","64","61.25","62.62","989","1.99","1.22","","","","","","","7402",\N,\N,\N,\N
"SVIIU","240403","03-Apr-24","11.09","11.25","11.09","11.09","24","-1.42","-0.16","","","","","","","3262",\N,\N,\N,\N
"CVRX","240403","03-Apr-24","17.08","17.53","16.99","17.25","159375","0.29","0.05","","","","","","","140310",\N,\N,\N,\N
"ADSE","240403","03-Apr-24","10.24","10.4","9.92","10.32","9491","-0.19","-0.02","","","","","","","75870",\N,\N,\N,\N
"TOP","240403","03-Apr-24","2.65","2.7","2.6","2.63","104222","-2.59","-0.07","3213.6","2947.07","0.78","2007/04/02","1565","6.7","1530690",\N,\N,\N,\N
"MYTE","240403","03-Apr-24","3.33","3.61","3.28","3.39","42505","-1.17","-0.04","","","","","","","58426",\N,\N,\N,\N
"BKKT","240403","03-Apr-24","0.41","0.469","0.4078","0.47","4743633","10.79","0.05","","","","","","","5811116",\N,\N,\N,\N
"PFTA","240403","03-Apr-24","10.72","10.72","10.72","10.72","947","0.09","0.01","","","","","","","11817",\N,\N,\N,\N
