"ticker","datenr","pchange","wkchange","qtrchange","yrchange","ytdchange","currrating","prevrating","changeddate","suffix","suffixdays","volchange","dchange","prevsuffix","suffixchangeddate","weeksuffix","weekprevsuffix","weeksuffixchangeddate","weeksuffixdays","dailystoploss","weeklystoploss","dailystopbuy","weeklystopbuy","2wkchange","3wkchange","mthchange","monthlystopbuy","monthlystoploss","weekhigh","weeklow"
"T",240328,0.46,3.83,5.32,-7.21,5.07,"Mkt Perform","Weak","240325","+",1,564.18,0.08,"","","+","","",1,17.29,16.93,17.59,17.32,3.4,2.5,4.13,18.16,16.42,,
"GE",240328,-2.81,-0.05,36.43,86.12,37.17,"Mkt Perform","Strong","240328","-",1,-57.08,-5.06,"","","+","","",1,174.68,168.58,180.36,177.5,3.66,4.23,11.58,157.18,132.47,,
"BABA",240328,1.27,0.51,-6.14,-27.44,-6.46,"Mkt Perform","Weak","240328","+",1,-42.55,0.91,"","","-","","",1,70.58,72.04,71.69,74.74,-1.25,-1.43,-2.07,78.34,70,,
"BAC",240328,0,2.05,11.6,31.88,12.3,"Strong","Mkt Perform","240328","+",1,543.88,0,"","","+","","",1,37.24,35.39,37.84,37.61,6.78,6.21,9.53,34.65,32.35,,
"PG",240328,-0.3,0.28,11.25,10.43,10.63,"Mkt Perform","Weak","240304","+",1,0.6,-0.49,"","","-","","",9,161.34,161,162.74,162.72,0.46,1.1,2,161.74,154.91,,
"CHL",240328,0,9999,9999,9999,9999,"Mkt Perform","","221101","-",4796,-100,0,"","","-","","",4774,0,0,0,0,9999,9999,9999,0,0,,
"RDS.B",240328,0,9999,9999,9999,9999,"Mkt Perform","","221101","-",3653,0,0,"","","-","","",3597,0,0,0,0,9999,9999,9999,0,0,,
"WMT",240328,-0.56,-0.8,14.96,25.59,14.9,"Mkt Perform","Strong","240318","-",1,31.92,-0.34,"","","-","","",1,60.38,60.39,61.05,61.65,-0.49,0.43,3.02,60.45,55.06,,
"RDS.A",240328,0,9999,9999,9999,9999,"Mkt Perform","","221101","-",3653,0,0,"","","-","","",3597,0,0,0,0,9999,9999,9999,0,0,,
"PFE",240328,0.29,1.83,-3.23,-30.78,-3.23,"Mkt Perform","Weak","240325","+",1,127.18,0.08,"","","-","","",3,27.54,27.21,27.93,28.03,-0.29,2.35,4.89,28.14,26.52,,
"V",240328,0.02,-1.48,7.17,24.98,7.19,"Mkt Perform","Weak","240328","-",5,-51.91,0.06,"","","-","","",1,276.98,282.89,281.25,290.96,-1.4,-0.34,-1.26,286.12,272.76,,
"CVX",240328,0.92,2.02,5.35,-1.91,5.79,"Mkt Perform","Weak","240325","+",1,139.22,1.44,"","","+","","",1,154.85,154.16,156.44,156.84,1.44,5.28,3.8,156.63,146.52,,
"VZ",240328,1.14,4.07,12.07,9.19,11.45,"Strong","Mkt Perform","240327","+",1,513.27,0.48,"","","+","","",1,41.1,39.26,41.78,40.81,6.39,6.34,4.99,42.72,39.26,,
"PTR",240328,0,9999,9999,9999,9999,"Mkt Perform","","221101","-",2449,0,0,"","","-","","",2422,0,0,0,0,9999,9999,9999,0,0,,
"NVS",240328,1.02,0.65,-3.11,7.4,-4.07,"Mkt Perform","Weak","240326","+",1,147.71,0.98,"","","-","","",3,95.27,95.25,95.9,97.02,-0.42,-3.82,-4.07,105.9,98.71,,
"TM",240328,-0.24,-1.26,38.89,80.1,37.17,"Mkt Perform","Strong","240325","-",5,136.47,-0.6,"","","+","","",26,250.33,237.28,254.2,255.23,7.22,3.6,4.57,241.37,199.81,,
"BUD",240328,-0.13,2.12,-6.08,-6.95,-5.97,"Mkt Perform","Weak","240325","+",5,-36.73,-0.08,"","","+","","",1,60.6,59.24,61,60.45,-0.07,-2.13,0.65,65.96,59.8,,
"HD",240328,-0.62,-1.74,10.4,35.33,10.66,"Mkt Perform","Strong","240325","+",4,-66.6,-2.41,"","","+","","",26,380.74,371.14,386.32,396.87,2.75,2.71,0.75,381.78,350.02,,
"KO",240328,0.01,0.9,3.89,-1.33,3.57,"Mkt Perform","Weak","240322","+",5,48.08,0,"","","+","","",1,60.7,59.8,61.43,60.99,1.93,2.55,1.69,61.62,58.79,,
